evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761226-17-M2,761226-15-M1,1976-12-26 17:38:56.668571,AA,repeating,225.77657024285924,222.98439559776293,15.243190608460647,0.0281281422829108,222.98439559776293,6.6267865,104.78930330832472,0.0044355659315864,99.30390319497518,2.567422460127968
761226-17-M4,761226-15-M1,1976-12-26 17:55:19.771779,AA,repeating,226.9795746056,223.266969416,15.2545691178125,0.0299352317658938,223.266969416,8.33418425,91.61163146457672,0.0237392240916659,94.48205119096951,3.5186111399519944
761226-17-M5,761226-15-M1,1976-12-26 17:10:51.150000,AA,repeating,223.6629466666667,222.4999533333333,15.223682291666666,0.0291774335587635,222.4999533333333,6.985630500000001,91.42743760999372,0.0521045572711108,77.49978840259331,5.452920300450027
761226-17-M6,761226-15-M1,1976-12-26 17:17:27.091667,AA,repeating,224.16522654362964,222.61140358034075,15.22826494984954,0.0262181394850826,222.61140358034075,7.091582750000001,91.55997557107511,0.025071129692254,51.07666211424872,0.0646520471399267
761226-17-M7,761226-19-M6,1976-12-26 17:22:08.091667,AA,repeating,224.51907839548147,222.69049987663703,15.231517264664353,0.0079709172437723,222.69049987663703,7.385375,73.34679915187684,0.1371445820224043,101.4128212822137,0.0760921761254395
761226-17-M8,761226-15-M1,1976-12-26 17:24:27.816667,AA,repeating,224.69502839548147,222.72982987663707,15.233134452164352,0.0240390919675877,222.72982987663707,7.761990749999999,91.55997557107511,0.025071129692254,73.81692272439132,5.614882292842566
761226-17-M9,761226-15-M1,1976-12-26 17:31:15.741667,AA,repeating,225.20425629671112,222.84910864207407,15.237855806331016,0.0252733060150074,222.84910864207407,6.67585125,104.19773381477724,0.0167170451683048,113.48002903580178,0.5421772005838433
761226-17-N4,761226-15-M1,1976-12-26 17:05:00.825000,AA,repeating,223.21660666666665,222.40134333333333,15.219627604166666,0.021831469051776,222.40134333333333,7.538946750000001,87.86105027101422,0.053034443345106,69.51015392212271,1.285418927882623
761226-18-M1,761226-15-M1,1976-12-26 18:04:34.341898,AA,repeating,227.6492102776,223.42722216388148,15.260987753449076,0.026871559552229,223.42722216388148,6.504677750000001,91.59324048239118,0.0563366516033038,77.29871521100388,3.965430151281662
761226-18-M2,761226-15-M1,1976-12-26 18:14:19.306822,AA,repeating,228.34843771496296,223.5946094287408,15.267758180810183,0.0283300235205708,223.5946094287408,8.1891165,91.2500298044494,0.3370348059933734,97.8115249612362,1.8409311519198293
761226-18-M4,761226-19-M6,1976-12-26 18:19:36.442599,AA,repeating,228.72430233955555,223.68857558488887,15.27142873378472,0.006907631045414,223.68857558488887,7.4344395,61.1242593264632,0.2958686417225363,67.61554548969252,1.4119583699500324
761226-18-M5,761226-15-M1,1976-12-26 18:25:49.560505,AA,repeating,229.1665161540741,223.7991290385185,15.275747228067129,0.0272365097270939,223.7991290385185,8.23962675,105.315634279215,0.0137402276475642,77.49978840259331,5.452920300450027
761226-18-M6,761226-19-M6,1976-12-26 18:34:01.137921,AA,repeating,229.74864826426665,223.94478160622225,15.281436781493056,0.0115227024586255,223.94478160622225,6.88188875,84.93522217594887,0.0465089949117531,65.95721780501677,0.9359649550115364
