evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
770413-07-M1,761116-16-M1,2,1977-04-13 07:37:36.004575,0.9142939543247892,0.9098639455782314,3,35,A,AA,repeating,6,8.445579,1977-04-13 07:37:36.914439,96.9164617944,236.0296926916,4.5443508615625,night9,189.4000001297452,0.0129836589719999,217.5136843472608,43.402612939155965,107.8791817092629,0.0033854531288253
760820-03-M1,761116-16-M1,3,1976-08-20 03:08:50.640559,0.9189589806691916,1.215986394557823,3,35,A,AA,repeating,6,14.001702,1976-08-20 03:08:51.856545,92.22212064377776,225.0042412875556,4.849905747048611,night1,286.9000001297484,0.0209052339861915,135.07094134520685,0.251785030043799,116.45072635940042,0.0640281006306331
761018-04-M1,761116-16-M1,3,1976-10-18 04:15:07.808602,0.9653153240347048,0.5612244897959184,3,35,A,AA,repeating,6,14.646259,1976-10-18 04:15:08.369826,96.03641867182222,233.8496280077333,4.864680206319445,night3,524.0000001298023,0.0199467602132287,177.89019658490008,4.933959834497909,110.0342604092476,0.0894128924612235
761116-16-M1,761116-16-M1,3,1976-11-16 16:25:33.255284,1.0,0.0,3,35,A,AA,repeating,6,15.054763,1976-11-16 16:25:33.255284,96.33790354714074,234.81185532071112,4.793787676898148,night4,274.5000001297456,0.0204223640574686,176.02316749827193,0.153438119836527,115.62004394428963,0.8343270553341802
761216-06-M3,761116-16-M1,3,1976-12-16 06:44:13.125226,0.9620705463408038,1.556122448979592,3,35,A,AA,repeating,6,13.663266,1976-12-16 06:44:14.681348,96.46134277487408,235.4020141623111,4.788537978564815,night5,494.00000012979547,0.020920395745939,184.6888858545936,1.1686209889450945,113.0191022185801,0.1171365349962212
770114-18-M1,761116-16-M1,3,1977-01-14 18:41:55.340365,0.91043979540554,1.8027210884353744,3,35,A,AA,repeating,6,11.983674,1977-01-14 18:41:57.143086,96.83541798263704,236.1881269739556,4.661946100532408,night6,174.400000129746,0.0205985000347075,191.18329833928308,2.580457951469237,167.37315505272986,0.0983541227006898
770413-07-M1,761116-16-M1,3,1977-04-13 07:37:34.207296,0.923579065904938,1.6071428571428572,3,35,A,AA,repeating,6,13.457144,1977-04-13 07:37:35.814439,96.9164943869926,236.0297415804889,4.544338130081019,night9,172.7000001297461,0.0211896030304997,217.5136843472608,43.402612939155965,107.8791817092629,0.0033854531288253
760820-03-M1,761116-16-M1,4,1976-08-20 03:08:50.843620,0.9092955059506764,-0.1870748299319728,3,35,A,AA,repeating,6,16.545239,1976-08-20 03:08:50.656545,92.22213842155556,225.0042768431111,4.849891858159722,night1,227.70000012974296,0.022340308354857,135.07094134520685,0.251785030043799,116.45072635940042,0.0640281006306331
761018-04-M1,761116-16-M1,4,1976-10-18 04:15:08.018806,0.9595999406374413,0.0510204081632653,3,35,A,AA,repeating,6,16.238776,1976-10-18 04:15:08.069826,96.0364275607111,233.84964134106667,4.864676734097222,night3,357.3000001297644,0.022058651322431,177.89019658490008,4.933959834497909,110.0342604092476,0.0894128924612235
761116-16-M1,761116-16-M1,4,1976-11-16 16:25:33.455284,1.0,0.0,3,35,A,AA,repeating,6,22.167688,1976-11-16 16:25:33.455284,96.3378976212148,234.81184643182223,4.793789991712964,night4,304.5000001297524,0.0209501311678308,176.02316749827193,0.153438119836527,115.62004394428963,0.8343270553341802
