evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source,source_distance_m
761227-01-M1,761028-23-M3,2,1976-12-27 01:17:59.460718,0.8304522591600404,0.3061224489795918,3,35,A,AA,repeating,6,3.286395,1976-12-27 01:17:59.766840,253.96113298844443,231.59525734044445,15.561976468055557,sunrise5,29.600000129751763,0.0043773942494187,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock,55.99699389252963
761227-01-M1,761028-23-M3,1,1976-12-27 01:17:59.461058,0.8213879679785753,0.7057823129251701,3,35,A,AA,repeating,6,1.610885,1976-12-27 01:18:00.166840,253.96147669214807,231.59538771081483,15.561981097685186,sunrise5,30.20000012975177,0.0043082299890442,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock,70.08877337348686
770424-09-M1,761028-23-M3,3,1977-04-24 09:32:25.545765,0.9178819762942456,-2.7551020408163267,3,35,A,AA,repeating,6,3.838776,1977-04-24 09:32:22.790663,251.5193608659852,230.7632058457185,15.624048503043982,sunrise9,75.90000012975158,0.0367877440092638,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock,13.614793424800833
770424-09-M1,761028-23-M3,1,1977-04-24 09:32:26.353928,0.8107025283490384,-3.163265306122449,3,35,A,AA,repeating,6,7.2483,1977-04-24 09:32:23.190663,251.51970456968888,230.76333621608887,15.624053132673613,sunrise9,50.800000129752064,0.0076308105197579,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock,70.08877337348686
770424-09-M1,761028-23-M3,4,1977-04-24 09:32:26.057670,0.8594496749451463,-1.2670068027210886,3,35,A,AA,repeating,6,2.442518,1977-04-24 09:32:24.790663,251.5210793845037,230.7638576975704,15.624071651192128,sunrise9,44.50000012975197,0.0100747090848675,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock,47.48226132989034
770424-09-M1,761028-23-M3,2,1977-04-24 09:32:26.348486,0.8404120886484201,0.4421768707482993,3,35,A,AA,repeating,6,3.155103,1977-04-24 09:32:26.790663,251.52279790302225,230.7645095494222,15.624094799340275,sunrise9,51.50000012975208,0.0057859280454899,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock,55.99699389252963
761028-23-M3,761028-23-M3,3,1976-10-28 23:47:25.628114,1.0,0.0,3,35,A,AA,repeating,6,1.080613,1976-10-28 23:47:25.628114,258.3365024912,232.6629547647704,15.678768843912035,sunrise3,65.30000012975218,0.0270236980381798,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock,13.614793424800833
761028-23-M3,761028-23-M3,4,1976-10-28 23:47:26.128114,1.0,0.0,3,35,A,AA,repeating,6,1.175851,1976-10-28 23:47:26.128114,258.3369024912,232.6631251351408,15.678774630949071,sunrise3,47.20000012975201,0.0090497341975732,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock,47.48226132989034
761028-23-M3,761028-23-M3,1,1976-10-28 23:47:26.428114,1.0,0.0,3,35,A,AA,repeating,6,1.079933,1976-10-28 23:47:26.428114,258.3371424912,232.66322735736296,15.678778103171297,sunrise3,35.90000012975185,0.004467255517497,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock,70.08877337348686
761028-23-M3,761028-23-M3,2,1976-10-28 23:47:26.428114,1.0,0.0,3,35,A,AA,repeating,6,3.613946,1976-10-28 23:47:26.428114,258.3371424912,232.66322735736296,15.678778103171297,sunrise3,33.80000012975182,0.0068806186690308,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock,55.99699389252963
