evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source,source_distance_m
761028-01-M1,761028-01-M1,4,1976-10-28 01:02:48.807639,1.0,0.0,3,35,A,AA,repeating,2,5.907144,1976-10-28 01:02:48.807639,96.98869026817778,212.1133367489778,14.731120458784725,sunrise3,49.10000012975204,0.0043147457684544,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2,79.08160886704316
770223-19-N2,770223-19-N2,2,1977-02-23 19:17:27.200000,1.0,0.0,3,35,D,AA,isolated,1,5.104423,1977-02-23 19:17:27.200000,208.1889777777777,219.84040592592595,15.100662037037036,sunrise7,28.90000012975176,0.0102272549029864,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2,63.41094325903061
770223-19-N2,770223-19-N2,3,1977-02-23 19:17:27.300000,1.0,0.0,3,35,D,AA,isolated,1,2.419389,1977-02-23 19:17:27.300000,208.18913333333333,219.84043111111112,15.100663194444444,sunrise7,44.00000012975197,0.0136430734729981,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2,25.669236451441247
770223-19-N2,770223-19-N2,1,1977-02-23 19:17:27.600000,1.0,0.0,3,35,D,AA,isolated,1,3.352382,1977-02-23 19:17:27.600000,208.1896,219.84050666666667,15.100666666666667,sunrise7,26.900000129751724,0.0102914473590117,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2,37.18288736771259
770223-19-N2,770223-19-N2,4,1977-02-23 19:17:29.200000,1.0,0.0,3,35,D,AA,isolated,1,5.893538,1977-02-23 19:17:29.200000,208.1920888888889,219.84090962962964,15.100685185185185,sunrise7,36.20000012975186,0.0039870294914987,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2,79.08160886704316
770423-21-M6,770423-21-M6,3,1977-04-23 21:30:20.960076,1.0,0.0,3,35,A,BB,isolated,1,3.578572,1977-04-23 21:30:20.960076,201.53144486684445,218.39163498097776,15.122638426805556,sunrise9,29.30000012975176,0.0167218518766752,62.14166643911363,95.48748509357117,84.96259764393453,126.53530456760924,R2,25.669236451441247
770423-21-M6,770423-21-M6,1,1977-04-23 21:30:21.860076,1.0,0.0,3,35,A,BB,isolated,1,3.231294,1977-04-23 21:30:21.860076,201.53293820017777,218.39184831431112,15.122648843472222,sunrise9,23.70000012975168,0.008737718936031,62.14166643911363,95.48748509357117,84.96259764393453,126.53530456760924,R2,37.18288736771259
770423-21-M6,770423-21-M6,2,1977-04-23 21:30:21.960076,1.0,0.0,3,35,A,BB,isolated,1,4.610885,1977-04-23 21:30:21.960076,201.5331041261037,218.3918720180148,15.12265000087963,sunrise9,24.700000129751693,0.0075638699623241,62.14166643911363,95.48748509357117,84.96259764393453,126.53530456760924,R2,63.41094325903061
770408-12-M5,770408-12-M5,3,1977-04-08 12:47:16.900000,1.0,0.0,3,35,C,BB,isolated,1,2.057484,1977-04-08 12:47:16.900000,191.72850962962963,280.28335259259256,29.28283449074074,sunset8,27.800000129751737,0.0353041079906264,132.26678060527493,16.51248697376945,22.891684153414342,118.76205555361204,R2,25.669236451441247
770408-12-M5,770408-12-M5,1,1977-04-08 12:47:17.400000,1.0,0.0,3,35,C,BB,isolated,1,3.113607,1977-04-08 12:47:17.400000,191.7275911111111,280.2831822222222,29.282840277777776,sunset8,31.8000001297518,0.0257332992611835,132.26678060527493,16.51248697376945,22.891684153414342,118.76205555361204,R2,37.18288736771259
770408-12-M5,770408-12-M5,2,1977-04-08 12:47:17.500000,1.0,0.0,3,35,C,BB,isolated,1,2.324831,1977-04-08 12:47:17.500000,191.7274074074074,280.28314814814814,29.282841435185187,sunset8,26.60000012975172,0.0170576378600081,132.26678060527493,16.51248697376945,22.891684153414342,118.76205555361204,R2,63.41094325903061
770208-10-M2,770208-10-M2,3,1977-02-08 10:05:23.500000,1.0,0.0,3,35,B,AA,isolated,1,1.913266,1977-02-08 10:05:23.500000,197.2073925925926,282.5631037037037,29.303223379629628,sunset6,34.20000012975183,0.0358807418879541,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2,25.669236451441247
770208-10-M2,770208-10-M2,1,1977-02-08 10:05:23.800000,1.0,0.0,3,35,B,AA,isolated,1,3.092858,1977-02-08 10:05:23.800000,197.20687703703703,282.5630014814815,29.30322685185185,sunset6,51.70000012975208,0.0234848704136971,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2,37.18288736771259
770208-10-M2,770208-10-M2,2,1977-02-08 10:05:23.900000,1.0,0.0,3,35,B,AA,isolated,1,2.100001,1977-02-08 10:05:23.900000,197.2067051851852,282.56296740740737,29.303228009259257,sunset6,83.40000012975115,0.0199505338102081,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2,63.41094325903061
770208-10-M2,770208-10-M2,4,1977-02-08 10:05:25.000000,1.0,0.0,3,35,B,AA,isolated,1,7.981293,1977-02-08 10:05:25.000000,197.2048148148148,282.5625925925926,29.30324074074074,sunset6,76.30000012975155,0.0091851981333605,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2,79.08160886704316
