evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
761028-23-M3,761028-23-M3,1976-10-28 23:47:26.153114,AA,repeating,258.3369224912,232.6631336536593,15.678774920300926,0.0118553266055702,232.6631336536593,1.73758575,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock
770424-09-M1,761028-23-M3,1977-04-24 09:32:24.390663,AA,repeating,251.5207356808,230.7637273272,15.6240670215625,0.0150697979148447,230.7637273272,4.17117425,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock
760830-23-M2,761028-23-M3,1976-08-30 23:53:49.919646,AA,repeating,256.7694183887111,228.6693812179556,15.714466662569444,0.0095284303035769,228.6693812179556,3.3170925,156.2189621267187,4.870032193522038,120.0091948832251,1.005258902507438,geophone_rock
770125-16-M1,761028-23-M3,1977-01-25 16:17:44.398339,AA,repeating,255.18882526404448,232.3293505451408,15.561798591886577,0.0122454817809686,232.3293505451408,2.3836742500000003,154.30676874479056,2.1769160976808943,66.3595810915173,0.8393693752137307,geophone_rock
761227-01-M1,761028-23-M3,1976-12-27 01:17:59.566840,AA,repeating,253.9609611365925,231.59519215525927,15.56197415324074,0.0090532347318637,231.59519215525927,2.25977975,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock
761029-17-M2,761029-17-M2,1976-10-29 17:06:21.248157,AA,isolated,297.4587027753778,254.8778696877777,16.400245927743057,0.0067614838716529,254.8778696877777,2.12610625,157.4873800842088,38.74025012311088,176.40313846255853,3.7386916560534895,geophone_rock
761128-22-M1,761030-08-M1,1976-11-28 22:29:40.881399,AA,repeating,323.42291903666666,276.9032022752,17.046653719895836,0.0109692862837963,276.9032022752,9.564967,182.8652340377681,13.61382082892048,332.7980536910596,28.62694126018791,geophone_rock
760930-21-M4,761030-08-M1,1976-09-30 21:00:53.375000,AA,repeating,321.2589777777778,274.648187037037,17.102180266203703,0.0103796147674078,274.648187037037,2.127977,227.12756975351047,61.582481227087214,197.0547535247373,8.842217442063578,geophone_rock
761030-08-M1,761030-08-M1,1976-10-30 08:54:21.631898,AA,repeating,321.9446784807407,275.4296913415112,17.058583702523148,0.0082638621119781,275.4296913415112,1.84872525,175.32217172279567,12.532906393905648,96.02794639964254,1.4954991081128173,geophone_rock
761031-06-M2,761031-06-M2,1976-10-31 06:41:45.000000,DD,isolated,346.378,301.2922222222222,17.966493055555556,0.0106339026321345,301.2922222222222,0.387756,-1.0,-1.0,-1.0,-1.0,unclear
761102-12-M2,761102-12-M2,1976-11-02 12:53:27.076894,AA,isolated,380.1625857519704,346.0251225028149,20.22461894553241,0.013309637977484,346.0251225028149,1.9962595,194.74045639579592,11.834122320758038,239.77578310573963,1.2110636218644812,unclear
761109-05-N1,761109-05-N1,1976-11-09 05:43:47.450000,CC,isolated,331.06697925925926,334.6073059259259,26.92624363425925,0.0099945633876356,334.6073059259259,2.028742,-1.0,-1.0,-1.0,-1.0,unclear
761110-03-M1,761110-03-M1,1976-11-10 03:15:01.529533,BB,isolated,300.6526082212346,317.90294811753085,27.82293436959877,0.0118479844266029,317.90294811753085,2.759298,251.36633280740497,12.32610691496042,19.923770844340208,208.06198659405192,unclear
761112-06-M1,761112-06-M1,1976-11-12 06:21:41.032109,AA,isolated,125.22233265402964,265.63870540284444,0.3744332420023148,0.0065711594592374,265.63870540284444,4.5811235,197.79412488262585,4.101702708270117,148.39106462115927,29.35842795709332,unclear
761127-10-M3,761127-10-M3,1976-11-27 10:48:25.875744,AA,isolated,252.31661731697776,230.63043357582225,15.559674487777777,0.0119660109648083,230.63043357582225,2.4893715,130.85369580251495,1.067025669408712,200.54890478667824,4.0954650065781495,geophone_rock
761128-06-M4,761128-06-M4,1976-11-28 06:19:16.675000,AA,isolated,298.2926214814815,255.69839814814816,16.37276244212963,0.0075784904705875,255.69839814814816,27.27313025,126.9436100587824,1.023893656512075,128.70604353870704,67.86273253944124,geophone_rock
761128-19-M3,761128-19-M3,1976-11-28 19:49:05.100000,CC,isolated,319.76804000000004,273.4671466666667,16.93512847222222,0.0109429777972358,273.4671466666667,10.6925175,-1.0,-1.0,-1.0,-1.0,unclear
761129-19-M2,761129-19-M2,1976-11-29 19:18:54.785594,BB,isolated,346.9426094917333,301.8330444070222,17.914175759189817,0.0083929592727462,301.8330444070222,1.1468263333333335,245.09535339683964,69.62827423905152,205.10352260245145,99.58949592159624,geophone_rock
761208-23-N3,761208-23-N3,1976-12-08 23:32:40.400000,DD,isolated,328.31867851851854,333.6157748148148,27.090398148148147,0.0127865263442385,333.6157748148148,0.885715,-1.0,-1.0,-1.0,-1.0,unclear
761212-00-M2,761212-00-M2,1976-12-12 00:25:11.633333,DD,isolated,122.52647604945186,264.34365975314074,0.5253082561689815,0.0085710552655901,264.34365975314074,1.024831,-1.0,-1.0,-1.0,-1.0,unclear
761227-21-M1,761227-21-M1,1976-12-27 21:02:01.050000,AA,isolated,299.87918,257.0948333333333,16.384213541666664,0.0065003805083063,257.0948333333333,2.71998375,175.79705894237608,3.953661806280557,125.12799897906892,0.5356130493510937,geophone_rock
761228-15-M1,761228-15-M1,1976-12-28 15:54:21.633106,BB,isolated,328.2396917711407,281.7496917711408,17.170562883175155,0.0118425873878456,281.7496917711408,3.5502273333333334,226.465133915262,57.71296665330968,272.2605775745096,5.697242303623877,unclear
761202-02-M1,761231-15-M1,1976-12-02 02:41:58.835086,AA,repeating,381.8038964520889,347.88381016216294,20.22186151719908,0.016992190909067,347.88381016216294,2.5664975,170.82884958957138,3.54693759340035,153.46938448291192,0.4975232866969662,unclear
761231-15-M1,761231-15-M1,1976-12-31 15:33:25.650000,AA,repeating,382.0079933333333,347.95684666666665,20.156026041666664,0.0134411168634474,347.95684666666665,2.4193035,169.49255513787654,15.656641098730391,185.8644141412808,6.710329108414022,unclear
770108-07-M4,770108-07-M4,1977-01-08 07:57:03.004037,AA,isolated,303.3346203681926,320.1952879319704,27.839097268946755,0.0102266147866874,320.1952879319704,11.12848725,269.0464557123313,8.48623426634967,253.6038989517972,3.694171888212889,unclear
770110-06-M2,770110-06-M2,1977-01-10 06:20:57.829980,BB,isolated,131.80413704444445,270.60048222666666,0.147370717361111,0.006577144473444,270.60048222666666,2.145012,267.5726921467402,24.25381951993289,258.4532670890315,31.32398940883789,unclear
770126-00-N1,770126-00-N1,1977-01-26 00:33:15.900000,AA,isolated,277.1710311111111,242.6796533333333,15.905913194444445,0.0038827341562155,242.6796533333333,7.23052825,345.3892889222524,0.6101435910812625,338.8155839062277,0.7980105872361702,unclear
770126-11-M2,770126-11-M2,1977-01-26 11:10:16.958677,AA,isolated,298.9574310373037,256.65516988037035,16.348286558761576,0.0068824506187761,256.65516988037035,5.49107225,261.1798970737749,72.18464437047,264.8718442118033,27.37520094446697,geophone_rock
770128-00-M1,770128-00-M1,1977-01-28 00:19:48.733333,BB,isolated,347.6169955555556,302.8798281481482,17.896570987654318,0.0078474624915415,302.8798281481482,3.158957666666667,129.5975041814133,107.05360396015604,142.40749540570792,69.05051093204118,geophone_rock
770205-16-M4,770205-16-M4,1977-02-05 16:34:14.333333,DD,isolated,342.1246419754074,342.03855308647405,26.57325617283565,0.007917456683009,342.03855308647405,0.687076,-1.0,-1.0,-1.0,-1.0,unclear
770206-22-M4,770206-22-M4,1977-02-06 22:36:21.341667,AA,isolated,302.6448653084889,319.7739583949778,27.82472617670139,0.0122952540390498,319.7739583949778,28.180868499999995,356.8542136451308,0.5811786842959115,110.0452316739907,0.0007979650952735,unclear
770208-10-M2,770208-10-M2,1977-02-08 10:05:24.050000,AA,isolated,197.2064474074074,282.5629162962963,29.303229745370366,0.0221253360613049,282.5629162962963,3.7718545,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2
770215-02-N1,770215-02-N1,1977-02-15 02:55:43.000000,AA,isolated,92.67761481481485,230.09142222222223,6.418900462962963,0.0072800766057013,230.09142222222223,2.92304475,337.19846320828043,1.398475437249822,334.72595335079114,1.504610818489944,unclear
