evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
770308-07-M4,770206-17-M2,2,1977-03-08 07:32:20.355442,0.7817868036874049,0.1445578231292517,3,35,B,AA,repeating,3,46.823131,1977-03-08 07:32:20.500000,309.219637037037,322.80669629629625,27.611001157407408,sunset7,105.90000012974988,0.005468285918613,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770108-02-M3,770206-17-M2,2,1977-01-08 02:53:34.813606,0.8191906679746649,-4.846938775510204,3,35,B,AA,repeating,3,8.395579,1977-01-08 02:53:29.966667,311.4875698764,324.496674074,27.628298225312506,sunset5,241.80000012974216,0.0053537525656873,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
770108-02-M3,770206-17-M2,4,1977-01-08 02:53:33.005783,0.9356413992111328,-1.5391156462585036,3,35,B,AA,repeating,3,2.92449,1977-01-08 02:53:31.466667,311.4869254319556,324.49634074066665,27.62831558642361,sunset5,85.70000012975102,0.0285257006781788,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
770108-02-M3,770206-17-M2,3,1977-01-08 02:53:33.607143,0.9225431692902076,0.0595238095238095,3,35,B,AA,repeating,3,2.110545,1977-01-08 02:53:33.666667,311.4859802467704,324.4958518517778,27.628341049386574,sunset5,77.50000012975148,0.011177426292652,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
770108-02-M3,770206-17-M2,1,1977-01-08 02:53:33.807483,0.911171555728451,0.4591836734693878,3,35,B,AA,repeating,3,2.964627,1977-01-08 02:53:34.266667,311.4857224689926,324.49571851844445,27.628347993831017,sunset5,51.10000012975207,0.0089679650996895,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
761209-12-N1,761209-12-N1,4,1976-12-09 12:58:17.700000,1.0,0.0,3,35,D,AA,isolated,1,1.971769,1976-12-09 12:58:17.700000,309.68728444444446,323.22273333333334,27.649857638888893,sunset4,221.1000001297433,0.0216795604654313,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
761209-12-N1,761209-12-N1,3,1976-12-09 12:58:18.200000,1.0,0.0,3,35,D,AA,isolated,1,3.14694,1976-12-09 12:58:18.200000,309.68706962962966,323.22262222222224,27.64986342592593,sunset4,220.80000012974327,0.0108463264181103,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
761209-12-N1,761209-12-N1,2,1976-12-09 12:58:19.600000,1.0,0.0,3,35,D,AA,isolated,1,17.767348,1976-12-09 12:58:19.600000,309.6864681481481,323.22231111111114,27.64987962962963,sunset4,219.40000012974343,0.005378307757699,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
761209-12-N1,761209-12-N1,1,1976-12-09 12:58:20.600000,1.0,0.0,3,35,D,AA,isolated,1,10.3983,1976-12-09 12:58:20.600000,309.6860385185185,323.2220888888889,27.649891203703703,sunset4,30.20000012975177,0.0094954066729539,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
770406-21-N2,770406-21-N2,4,1977-04-06 21:43:10.600000,1.0,0.0,3,35,D,AA,repeating,3,1.020749,1977-04-06 21:43:10.600000,305.3286222222222,320.10593185185184,27.654983796296296,sunset8,40.70000012975192,0.0285688458538247,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
770406-21-N2,770406-21-N2,3,1977-04-06 21:43:11.700000,1.0,0.0,3,35,D,AA,repeating,3,3.976871,1977-04-06 21:43:11.700000,305.3281333333333,320.1056711111111,27.65499652777778,sunset8,35.60000012975185,0.0137569651566696,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
770406-21-N2,770406-21-N2,1,1977-04-06 21:43:12.600000,1.0,0.0,3,35,D,AA,repeating,3,3.706123,1977-04-06 21:43:12.600000,305.3277333333333,320.10545777777776,27.655006944444445,sunset8,30.500000129751776,0.010517285877256,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
770406-21-N2,770406-21-N2,2,1977-04-06 21:43:13.400000,1.0,0.0,3,35,D,AA,repeating,3,1.264966,1977-04-06 21:43:13.400000,305.32737777777777,320.1052681481481,27.655016203703703,sunset8,25.400000129751703,0.0048172408842524,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
761109-23-M6,770406-21-N2,4,1976-11-09 23:54:51.108843,0.9128279926784112,-1.2755102040816328,3,35,B,BB,repeating,3,2.241497,1976-11-09 23:54:49.833333,306.177851852,320.76352098773333,27.68391010802084,sunset3,51.40000012975207,0.0271113855635761,155.6106096654453,0.7128462888283325,180.9133333499415,6.904982287926672,GEO4_rock1
761109-23-M6,770406-21-N2,3,1976-11-09 23:54:52.208163,0.8608705434151168,0.4251700680272109,3,35,B,BB,repeating,3,3.557144,1976-11-09 23:54:52.633333,306.17660740755554,320.7628572840296,27.68394251542824,sunset3,26.800000129751723,0.0121012775394035,155.6106096654453,0.7128462888283325,180.9133333499415,6.904982287926672,GEO4_rock1
761109-23-M6,770406-21-N2,1,1976-11-09 23:54:53.110204,0.8643384447987524,0.3231292517006803,3,35,B,BB,repeating,3,2.536055,1976-11-09 23:54:53.433333,306.176251852,320.7626676544,27.6839517746875,sunset3,31.900000129751795,0.0092108333943395,155.6106096654453,0.7128462888283325,180.9133333499415,6.904982287926672,GEO4_rock1
761011-11-M2,770406-21-N2,4,1976-10-11 11:38:21.113946,0.9014298560658432,0.5527210884353742,3,35,B,BB,repeating,3,0.443878,1976-10-11 11:38:21.666667,302.13627160478524,317.8677530863407,27.71153549383102,sunset2,42.500000129751946,0.0293442946121582,155.65902426463862,0.4656114130350284,170.00264279138193,50.73068090745354,GEO4_rock1
