evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,mean_amplitude,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
770207-10-M2,770207-10-M2,3,1977-02-07 10:34:06.415755,1.0,0.0,3,35,A,BB,isolated,1,71.512927,1977-02-07 10:34:06.415755,279.5003252451111,308.664289132,28.32316453420139,sunset6,600.0,0.0097832044433882,0.0011991748335337,344.39701193243366,102.59921771305127,255.6185343030297,0.3032106416842139
770207-05-M7,770207-05-M7,2,1977-02-07 05:54:44.300000,1.0,0.0,3,35,C,BB,isolated,1,14.49762,1977-02-07 05:54:44.300000,289.2630503703704,313.1495096296296,28.12915856481481,sunset6,8.800000129751595,0.0076136356802383,0.0011956158015394,227.90626989528494,122.95281242877239,139.74724021346856,0.7553059476653978
770207-05-M7,770207-05-M7,3,1977-02-07 05:54:41.100000,1.0,0.0,3,35,C,BB,isolated,1,5.435715,1977-02-07 05:54:41.100000,289.2648044444444,313.15031555555555,28.12912152777778,sunset6,124.5000001297488,0.0084593563076234,0.0011292784210675,227.90626989528494,122.95281242877239,139.74724021346856,0.7553059476653978
770207-05-M7,770207-05-M7,4,1977-02-07 05:54:38.400000,1.0,0.0,3,35,C,BB,isolated,1,12.106804,1977-02-07 05:54:38.400000,289.2662844444444,313.15099555555554,28.129090277777777,sunset6,292.3000001297496,0.0059813650094997,0.0009772531865078,227.90626989528494,122.95281242877239,139.74724021346856,0.7553059476653978
770207-11-N7,770207-11-N7,2,1977-02-07 11:48:50.900000,1.0,0.0,3,35,D,BB,isolated,1,16.889117,1977-02-07 11:48:50.900000,276.6962414814815,307.42833925925925,28.375068287037035,sunset6,107.90000012974976,0.0072891585557923,0.0009722121005487,138.66029113120956,184.51984605950133,332.97977035298146,74.4767396313876
770207-11-N7,770207-11-N7,3,1977-02-07 11:48:50.300000,1.0,0.0,3,35,D,BB,isolated,1,7.055443,1977-02-07 11:48:50.300000,276.69662370370366,307.4285081481482,28.37506134259259,sunset6,107.3000001297498,0.006557531551691,0.000871126599974,138.66029113120956,184.51984605950133,332.97977035298146,74.4767396313876
770207-11-N7,770207-11-N7,4,1977-02-07 11:48:51.400000,1.0,0.0,3,35,D,BB,isolated,1,7.885715,1977-02-07 11:48:51.400000,276.6959229629629,307.4281985185185,28.375074074074075,sunset6,212.10000012974385,0.0074267706497115,0.0013036831826705,138.66029113120956,184.51984605950133,332.97977035298146,74.4767396313876
770206-11-M2,770206-11-M2,2,1977-02-06 11:21:21.023232,1.0,0.0,3,35,A,BB,isolated,1,25.178573,1977-02-06 11:21:21.023232,319.83323549582224,329.0209729592889,27.35597249111111,sunset6,115.50000012974932,0.0067787728185132,0.001023485736056,160.92948054972436,61.244562571582485,197.04282514924716,0.0067055199122248565
770206-11-M2,770206-11-M2,3,1977-02-06 11:21:22.323232,1.0,0.0,3,35,A,BB,isolated,1,3.810545,1977-02-06 11:21:22.323232,319.8327347550815,329.0207033296593,27.35598753740741,sunset6,92.10000012975064,0.0045103877431515,0.0010198391585092,160.92948054972436,61.244562571582485,197.04282514924716,0.0067055199122248565
770206-11-M2,770206-11-M2,4,1977-02-06 11:21:19.523232,1.0,0.0,3,35,A,BB,isolated,1,22.962586,1977-02-06 11:21:19.523232,319.8338132736,329.0212840704,27.35595513,sunset6,104.90000012974993,0.0045507826331903,0.0011437324114239,160.92948054972436,61.244562571582485,197.04282514924716,0.0067055199122248565
