evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
761028-23-M3,761028-23-M3,3,1976-10-28 23:47:25.628114,1.0,0.0,3,35,A,AA,repeating,6,1.080613,1976-10-28 23:47:25.628114,258.3365024912,232.6629547647704,15.678768843912035,sunrise3,65.30000012975218,0.0270236980381798,165.30022208585763,1.5130107316801298,175.77771162223817,13.306546443733074,geophone_rock
761028-23-M3,761028-23-M3,4,1976-10-28 23:47:26.128114,1.0,0.0,3,35,A,AA,repeating,6,1.175851,1976-10-28 23:47:26.128114,258.3369024912,232.6631251351408,15.678774630949071,sunrise3,47.20000012975201,0.0090497341975732,165.30022208585763,1.5130107316801298,175.77771162223817,13.306546443733074,geophone_rock
761028-23-M3,761028-23-M3,1,1976-10-28 23:47:26.428114,1.0,0.0,3,35,A,AA,repeating,6,1.079933,1976-10-28 23:47:26.428114,258.3371424912,232.66322735736296,15.678778103171297,sunrise3,35.90000012975185,0.004467255517497,165.30022208585763,1.5130107316801298,175.77771162223817,13.306546443733074,geophone_rock
761028-23-M3,761028-23-M3,2,1976-10-28 23:47:26.428114,1.0,0.0,3,35,A,AA,repeating,6,3.613946,1976-10-28 23:47:26.428114,258.3371424912,232.66322735736296,15.678778103171297,sunrise3,33.80000012975182,0.0068806186690308,165.30022208585763,1.5130107316801298,175.77771162223817,13.306546443733074,geophone_rock
760830-23-M2,761028-23-M3,3,1976-08-30 23:53:49.262673,0.8091318245059169,-0.0680272108843537,3,35,A,AA,repeating,6,2.496599,1976-08-30 23:53:49.194646,256.76884912945184,228.66914492165924,15.71445827136574,sunrise1,65.50000012975217,0.0182011646862997,156.2155675283599,4.867701211136438,120.00915830478156,1.0053000470955538,geophone_rock
760830-23-M2,761028-23-M3,4,1976-08-30 23:53:49.765054,0.9255302069509432,0.2295918367346939,3,35,A,AA,repeating,6,0.9483,1976-08-30 23:53:49.994646,256.7694772776,228.6694056624,15.714467530625,sunrise1,54.50000012975212,0.008558909891352,156.2155675283599,4.867701211136438,120.00915830478156,1.0053000470955538,geophone_rock
760830-23-M2,761028-23-M3,1,1976-08-30 23:53:50.060632,0.8812032247102599,0.0340136054421768,3,35,A,AA,repeating,6,6.503062,1976-08-30 23:53:50.094646,256.7695557961185,228.6694382549926,15.714468688032408,sunrise1,27.40000012975173,0.004346452370994,156.2155675283599,4.867701211136438,120.00915830478156,1.0053000470955538,geophone_rock
760830-23-M2,761028-23-M3,2,1976-08-30 23:53:50.063013,0.8983396287671883,0.3316326530612245,3,35,A,AA,repeating,6,3.320409,1976-08-30 23:53:50.394646,256.7697913516741,228.6695360327704,15.714472160254628,sunrise1,43.40000012975196,0.0070071942656619,156.2155675283599,4.867701211136438,120.00915830478156,1.0053000470955538,geophone_rock
760929-13-M1,761028-23-M3,3,1976-09-29 13:24:59.864809,0.929006949306622,-0.1445578231292517,3,35,A,AA,repeating,6,0.771429,1976-09-29 13:24:59.720251,262.9231219674222,234.1376824558963,15.78558703994213,sunrise2,38.10000012975188,0.0193064931550236,165.57224415584,2.7118226182107903,167.71118664584228,3.0790044448471736,geophone_rock
760929-13-M1,761028-23-M3,4,1976-09-29 13:25:00.371271,0.9021108933197658,-0.0510204081632653,3,35,A,AA,repeating,6,1.234355,1976-09-29 13:25:00.320251,262.92357530075554,234.1378869003408,15.785593984386576,sunrise2,37.80000012975188,0.0093944369858656,165.57224415584,2.7118226182107903,167.71118664584228,3.0790044448471736,geophone_rock
