evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
760902-07-M2,760902-07-M2,1976-09-02 07:27:19.075012,BB,isolated,344.179470743763,297.7423185220741,18.02938744226852,0.007158324401768,297.7423185220741,1.702949,226.8892394880573,0.2925045962704755,211.3187717485824,58.45487125099582,geophone_rock
770226-17-M1,770226-17-M1,1977-02-26 17:37:42.425000,AA,isolated,349.2431292592592,305.12368148148147,18.03139380787037,0.0072220206220299,305.12368148148147,2.6285722500000004,131.06588696012298,16.248783703757415,295.2804388679231,0.157222889816081,unclear
761231-15-M1,761231-15-M1,1976-12-31 15:33:25.650000,AA,repeating,382.0079933333333,347.95684666666665,20.156026041666664,0.0134411168634474,347.95684666666665,2.4193035,169.63002639358635,15.587421341309556,185.8735766767227,6.7082068233689744,unclear
761202-02-M1,761231-15-M1,1976-12-02 02:41:58.835086,AA,repeating,381.8038964520889,347.88381016216294,20.22186151719908,0.016992190909067,347.88381016216294,2.5664975,170.82561623309627,3.5470300386346243,153.46937059160433,0.4975328547942548,unclear
761102-12-M2,761102-12-M2,1976-11-02 12:53:27.076894,AA,isolated,380.1625857519704,346.0251225028149,20.22461894553241,0.013309637977484,346.0251225028149,1.9962595,194.7964479781592,11.802261946039796,239.77574748588464,1.2110551305782922,unclear
761004-01-M1,761004-01-M1,1976-10-04 01:07:14.688328,BB,isolated,378.5386389624593,344.3677316040988,20.273260281570213,0.0110386897950672,344.3677316040988,1.5058966666666669,204.8676983578889,3.8142382146554064,225.0533781336121,80.65941643168703,unclear
770301-02-M1,770301-02-M1,1977-03-01 02:34:08.075000,AA,isolated,382.5320511111112,349.8500851851852,20.4039129050926,0.0173890245996071,349.8500851851852,2.67032425,185.70149683286635,7.4286528263327325,170.55967914354832,2.817363889629077,geophone_rock
760909-03-N1,760909-03-N1,1976-09-09 03:44:23.000000,AA,isolated,366.7260296296296,353.8132888888889,24.87457175925926,0.009976434046562,353.8132888888889,1.4948985,194.1636018168684,6.981951652176307,222.89613795572933,0.5110295648600922,geophone_rock
770405-06-M4,770405-06-M4,1977-04-05 06:49:41.833333,AA,isolated,350.5531950618074,346.04824691362967,26.034511959872685,0.0100679276309565,346.04824691362967,1.00765375,204.25708982386465,1.0153126449013732,192.71714748415303,4.901129572693001,unclear
770205-16-M4,770205-16-M4,1977-02-05 16:34:14.333333,DD,isolated,342.1246419754074,342.03855308647405,26.57325617283565,0.007917456683009,342.03855308647405,0.687076,-1.0,-1.0,-1.0,-1.0,R2
761010-12-N2,761010-12-N2,1976-10-10 12:45:55.900000,CC,isolated,333.0526088888889,334.9700622222223,26.75845949074074,0.0079433269336548,334.9700622222223,1.7224495,-1.0,-1.0,-1.0,-1.0,geophone_rock
761109-05-N1,761109-05-N1,1976-11-09 05:43:47.450000,CC,isolated,331.06697925925926,334.6073059259259,26.92624363425925,0.0099945633876356,334.6073059259259,2.028742,-1.0,-1.0,-1.0,-1.0,unclear
761208-23-N3,761208-23-N3,1976-12-08 23:32:40.400000,DD,isolated,328.31867851851854,333.6157748148148,27.090398148148147,0.0127865263442385,333.6157748148148,0.885715,-1.0,-1.0,-1.0,-1.0,unclear
770406-18-M5,770406-18-M5,1977-04-06 18:57:05.925000,AA,isolated,309.6088755555555,322.36868333333337,27.539651909722224,0.0090726152557639,322.36868333333337,1.503147,115.74125703446092,0.6139728726833168,128.56905680824767,0.8572993929182152,unclear
761011-07-N3,761011-07-N3,1976-10-11 07:45:59.850000,CC,isolated,308.28762000000006,321.08248000000003,27.550171875000004,0.0047532670946757,321.08248000000003,13.677212,-1.0,-1.0,-1.0,-1.0,unclear
761011-12-M1,761011-12-M1,1976-10-11 12:33:37.500000,BB,isolated,300.59355555555555,317.08177777777775,27.74991319444445,0.0083241555796618,317.08177777777775,2.9416110000000004,252.5576654732833,1.166572316182907,127.56123338638906,31.87089683521509,geophone_rock
760912-02-N2,760912-02-N2,1976-09-12 02:01:56.175000,AA,isolated,295.1232033333333,313.2474077777778,27.80342795138889,0.0113337160485561,313.2474077777778,10.26462675,202.9830477119473,4.616292129598219,138.46643325045665,2.925573551887533,unclear
761110-03-M1,761110-03-M1,1976-11-10 03:15:01.529533,BB,isolated,300.6526082212346,317.90294811753085,27.82293436959877,0.0118479844266029,317.90294811753085,2.759298,185.1036873567829,29.577795731495776,226.32524896022736,77.98617636169007,unclear
770206-22-M4,770206-22-M4,1977-02-06 22:36:21.341667,AA,isolated,302.6448653084889,319.7739583949778,27.82472617670139,0.0122952540390498,319.7739583949778,28.180868499999995,356.8542257832147,0.581178466240391,110.04523167399068,0.0007979649661239,unclear
770108-07-M4,770108-07-M4,1977-01-08 07:57:03.004037,AA,isolated,303.3346203681926,320.1952879319704,27.839097268946755,0.0102266147866874,320.1952879319704,11.12848725,268.9903169694396,8.50282630787875,253.601342799598,3.6938939175470153,unclear
770309-08-M2,770309-08-M2,1977-03-09 08:25:44.100000,DD,isolated,258.02380444444447,299.3991555555555,28.64807986111111,0.0050415489667378,299.3991555555555,0.905103,-1.0,-1.0,-1.0,-1.0,unclear
770309-22-M3,770309-22-M3,1977-03-09 22:25:05.712501,AA,isolated,203.927780554,283.4802757404,29.2309688946875,0.0065601445919903,283.4802757404,13.76403175,147.7529303777206,2.657458622962904,175.53098362040936,40.50528553391389,unclear
770408-12-M5,770408-12-M5,1977-04-08 12:47:17.266667,BB,isolated,191.72783604938272,280.28322765432097,29.2828387345679,0.0260316817039393,280.28322765432097,2.4986406666666667,73.42525687129077,3.187569000521751,270.77899128417573,93.03408059735064,R2
770208-10-M2,770208-10-M2,1977-02-08 10:05:24.050000,AA,isolated,197.2064474074074,282.5629162962963,29.303229745370366,0.0221253360613049,282.5629162962963,3.7718545,6.573525273265512,1.428868913122445,354.5453316484937,0.1113015825013429,R2
