evid,mean_arrival_time,grade,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,PGV_geo1,PGV_geo2,PGV_geo3,PGV_geo4,PGV_mean_124,PGV_mean_123,PGV_mean_234,PGV_mean_134
761107-00-N1,1976-11-07T00:29:47.000000,D,373.3652592592592,359.84762962962964,24.70818287037037,sunset3,0.0043034503227253,0.0031390182540444,0.0031365791656701,0.0037100542538175,0.0037175076101957,0.0035263492474799,0.0033285505578439,0.0037166945807376
761107-00-N2,1976-11-07T00:31:28.000000,D,373.3502962962963,359.84014814814816,24.709351851851853,sunset3,0.0035913134929615,0.0033666666470039,0.0032718787868336,0.0033339512307587,0.0034306437902413,0.0034099529755996,0.0033241655548654,0.0033990478368512
761107-00-M2,1976-11-07T00:34:46.000000,B,373.32186666666666,359.82548148148146,24.71164351851852,sunset3,0.0034947972121013,0.00332926600543,0.0039787444181112,0.0032977327014878,0.0033739319730063,0.0036009358785475,0.003535247708343,0.0035904247772334
761107-00-N6,1976-11-07T00:39:06.000000,D,373.2872,359.8062222222222,24.71465277777778,sunset3,0.0031848783105624,0.0028482037821744,0.0033232674413028,0.0031074012449534,0.00304682777923,0.0031187831780131,0.0030929574894768,0.0032051823322728
761107-00-N3,1976-11-07T00:41:00.000000,D,373.272,359.7977777777777,24.715972222222224,sunset3,0.0021328433571411,0.0021937377549843,0.0022444602038454,0.0018973374693266,0.0020746395271506,0.0021903471053236,0.0021118451427187,0.0020915470101043
761107-00-N4,1976-11-07T00:54:21.000000,D,373.1568888888889,359.73844444444444,24.72524305555556,sunset3,0.0027221022034645,0.0020523861003647,0.002131030278049,0.0028453296310846,0.0025399393116379,0.0023018395272927,0.0023429153364994,0.0025661540375327
761107-03-M1,1976-11-07T03:05:55.346780,A,372.0373560325926,359.1084136195556,24.8166128099537,sunset3,0.00579840034957,0.0040841370861148,0.0057356760789052,0.0081259754758804,0.0060028376371884,0.00520607117153,0.0059819295469667,0.0065533506347852
761107-03-N1,1976-11-07T03:27:14.000000,D,371.847925925926,359.0047555555556,24.83141203703704,sunset3,0.0026624600670708,0.0025288568875385,0.0030994622906804,0.0026309243826128,0.002607413779074,0.0027635930817632,0.0027530811869439,0.0027976155801213
761107-04-M1,1976-11-07T04:01:27.666667,B,371.54831111106665,358.8322074073778,24.855181327164352,sunset3,0.0051190030505464,0.0046660245678907,0.0055796262217463,0.0061241988795844,0.0053030754993405,0.0051215512800611,0.0054566165564071,0.005607609383959
761107-04-M2,1976-11-07T04:09:33.293173,A,371.4817343447408,358.7908671723704,24.860802004317133,sunset3,0.0088565384289315,0.0092977209589017,0.0109416022241242,0.0135509591124093,0.0105684061667475,0.0096986205373191,0.0112634274318117,0.0111163665884883
761107-04-M4,1976-11-07T04:36:13.333333,B,371.2346913580741,358.65681481484444,24.879320987650463,sunset3,0.0035189220454488,0.0035407612111725,0.0044274609418555,0.0044932648364875,0.0038509826977029,0.0038290480661589,0.0041538289965051,0.0041465492745972
761107-04-N1,1976-11-07T04:42:57.000000,D,371.17488888888886,358.62244444444445,24.88399305555556,sunset3,0.0034422042123022,0.0031559560687074,0.0037853312635939,0.0037390976325193,0.0034457526378429,0.0034611638482011,0.0035601283216068,0.0036555443694718
761107-04-M3,1976-11-07T04:44:44.333333,B,371.1589876543704,358.6144938271852,24.88523533950232,sunset3,0.0035784676696228,0.0038191554514953,0.0048105472690469,0.0032419307752025,0.0035465179654402,0.004069390130055,0.0039572111652482,0.003876981904624
