evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,mean_amplitude,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761229-18-M4,761229-18-M4,2,1976-12-29 18:55:45.900000,1.0,0.0,3,35,C,CC,isolated,1,19.101702,1976-12-29 18:55:45.900000,355.96310222222223,312.6418088888889,18.296538194444445,sunrise5,600.0,0.0044080772570096,0.0005690405328654,-1.0,-1.0,-1.0,-1.0
761229-18-M4,761229-18-M4,3,1976-12-29 18:55:38.000000,1.0,0.0,3,35,C,CC,isolated,1,27.001702,1976-12-29 18:55:38.000000,355.96122962962966,312.6395851851852,18.296446759259258,sunrise5,600.0,0.0037101103545516,0.0005698276033468,-1.0,-1.0,-1.0,-1.0
761231-14-N4,761231-14-N4,2,1976-12-31 14:20:09.000000,1.0,0.0,3,35,D,CC,isolated,1,46.318029,1976-12-31 14:20:09.000000,381.5466222222222,347.24035555555554,20.105138888888888,sunrise5,88.40000012975086,0.0060606267600385,0.0008378497080802,-1.0,-1.0,-1.0,-1.0
761231-14-N4,761231-14-N4,4,1976-12-31 14:20:09.100000,1.0,0.0,3,35,D,CC,isolated,1,9.74694,1976-12-31 14:20:09.100000,381.54663407407406,347.2403718518519,20.1051400462963,sunrise5,96.30000012975042,0.0054293664241831,0.0009836739405655,-1.0,-1.0,-1.0,-1.0
761230-04-M1,761230-04-M1,1,1976-12-30 04:50:39.466667,1.0,0.0,3,35,B,CC,isolated,1,33.490817,1976-12-30 04:50:39.466667,363.5487120988296,322.2021619753926,18.7096581790162,sunrise5,180.10000012974567,0.0028813945988028,0.0006596586285364,-1.0,-1.0,-1.0,-1.0
761230-04-M1,761230-04-M1,4,1976-12-30 04:50:38.366667,1.0,0.0,3,35,B,CC,isolated,1,18.451361,1976-12-30 04:50:38.366667,363.54850024697777,322.2018849383556,18.70964544753472,sunrise5,600.0,0.0036289456191437,0.0008095389694015,-1.0,-1.0,-1.0,-1.0
761229-13-M2,761229-13-M2,1,1976-12-29 13:50:10.600000,1.0,0.0,3,35,C,CC,isolated,1,68.598981,1976-12-29 13:50:10.600000,351.58695703703705,307.3386962962963,18.084324074074075,sunrise5,163.9000001297466,0.0020779705901403,0.0004433567080155,-1.0,-1.0,-1.0,-1.0
761229-13-M2,761229-13-M2,4,1976-12-29 13:50:19.000000,1.0,0.0,3,35,C,CC,isolated,1,23.574831,1976-12-29 13:50:19.000000,351.5889481481481,307.3411851851852,18.08442129629629,sunrise5,152.9000001297472,0.0030838764923782,0.0005607676645488,-1.0,-1.0,-1.0,-1.0
761229-01-M2,761229-01-M2,1,1976-12-29 01:34:05.900000,1.0,0.0,3,35,C,CC,isolated,1,10.593199,1976-12-29 01:34:05.900000,339.52650222222223,293.5401451851852,17.573158564814815,sunrise5,369.6000001297672,0.0014574690549098,0.0003222736769205,-1.0,-1.0,-1.0,-1.0
761229-01-M2,761229-01-M2,4,1976-12-29 01:34:03.400000,1.0,0.0,3,35,C,CC,isolated,1,22.081294,1976-12-29 01:34:03.400000,339.52572444444445,293.53933037037035,17.57312962962963,sunrise5,155.50000012974706,0.0066402636910005,0.000789321954946,-1.0,-1.0,-1.0,-1.0
761229-23-N6,761229-23-N6,2,1976-12-29 23:41:29.200000,1.0,0.0,3,35,D,CC,isolated,1,12.776191,1976-12-29 23:41:29.200000,359.7531555555556,317.3537866666667,18.49495601851852,sunrise5,181.7000001297456,0.0030453116441311,0.000621482872419,-1.0,-1.0,-1.0,-1.0
761229-23-N6,761229-23-N6,3,1976-12-29 23:41:30.400000,1.0,0.0,3,35,D,CC,isolated,1,61.848301,1976-12-29 23:41:30.400000,359.75342222222224,317.35410666666667,18.494969907407405,sunrise5,192.2000001297449,0.0034769843392595,0.0005876610053851,-1.0,-1.0,-1.0,-1.0
761230-05-N1,761230-05-N1,1,1976-12-30 05:08:53.900000,1.0,0.0,3,35,D,CC,isolated,1,31.963947,1976-12-30 05:08:53.900000,363.7594918518519,322.477797037037,18.72232523148148,sunrise5,273.8000001297454,0.0032913739970329,0.0007334532404409,-1.0,-1.0,-1.0,-1.0
761230-05-N1,761230-05-N1,2,1976-12-30 05:08:21.000000,1.0,0.0,3,35,D,CC,isolated,1,2.704082,1976-12-30 05:08:21.000000,363.7531555555556,322.4695111111111,18.721944444444443,sunrise5,284.50000012974783,0.0060414000941334,0.0014198891625176,-1.0,-1.0,-1.0,-1.0
761230-04-M2,761230-04-M2,2,1976-12-30 04:53:44.900000,1.0,0.0,3,35,C,CC,isolated,1,48.217348,1976-12-30 04:53:44.900000,363.5844251851852,322.2488637037037,18.711804398148143,sunrise5,176.0000001297459,0.0064099895477372,0.0010235633288367,-1.0,-1.0,-1.0,-1.0
761230-04-M2,761230-04-M2,3,1976-12-30 04:53:47.000000,1.0,0.0,3,35,C,CC,isolated,1,28.87245,1976-12-30 04:53:47.000000,363.5848296296296,322.2493925925926,18.711828703703706,sunrise5,256.3000001297414,0.0064901652693221,0.0011043371593501,-1.0,-1.0,-1.0,-1.0
761229-23-N3,761229-23-N3,1,1976-12-29 23:12:41.200000,1.0,0.0,3,35,D,CC,isolated,1,38.998981,1976-12-29 23:12:41.200000,359.38121185185184,316.8929866666667,18.47495601851852,sunrise5,257.70000012974174,0.0033003715680746,0.0007361152007358,-1.0,-1.0,-1.0,-1.0
761229-23-N3,761229-23-N3,3,1976-12-29 23:12:47.300000,1.0,0.0,3,35,D,CC,isolated,1,10.849661,1976-12-29 23:12:47.300000,359.38247703703706,316.8946133333333,18.47502662037037,sunrise5,99.80000012975022,0.0049863529461802,0.0010324734501664,-1.0,-1.0,-1.0,-1.0
761212-05-M1,761212-05-M1,3,1976-12-12 05:10:15.181051,1.0,0.0,3,35,A,CC,isolated,1,16.403062,1976-12-12 05:10:15.181051,119.23641493983703,261.81797585986664,0.7232659843865741,night5,104.80000012974992,0.0053508419734791,0.0006297986685105,-1.0,-1.0,-1.0,-1.0
761212-05-M1,761212-05-M1,4,1976-12-12 05:10:13.981051,1.0,0.0,3,35,A,CC,isolated,1,12.135375,1976-12-12 05:10:13.981051,119.2366104953926,261.81813585986663,0.7232520954976852,night5,76.60000012975154,0.0032927282385644,0.0007203869301593,-1.0,-1.0,-1.0,-1.0
761215-08-M1,761215-08-M1,1,1976-12-15 08:18:20.220717,1.0,0.0,3,35,A,CC,isolated,1,30.202722,1976-12-15 08:18:20.220717,99.27406753431111,239.39813506862225,3.8538798694097225,night5,94.50000012975052,0.0036538782721428,0.0007186909611081,-1.0,-1.0,-1.0,-1.0
761215-08-M1,761215-08-M1,4,1976-12-15 08:18:13.220717,1.0,0.0,3,35,A,CC,isolated,1,47.874491,1976-12-15 08:18:13.220717,99.27427494171852,239.39854988343703,3.853798850891204,night5,173.40000012974605,0.0035826213086792,0.0005807706531512,-1.0,-1.0,-1.0,-1.0
761129-10-M2,761129-10-M2,2,1976-11-29 10:11:50.100000,1.0,0.0,3,35,C,CC,isolated,1,3.143198,1976-11-29 10:11:50.100000,337.59706666666665,291.3586266666667,17.53426041666667,sunrise4,186.2000001297453,0.0044516017284035,0.0008273680566824,-1.0,-1.0,-1.0,-1.0
761129-10-M2,761129-10-M2,4,1976-11-29 10:11:50.000000,1.0,0.0,3,35,C,CC,isolated,1,36.636056,1976-11-29 10:11:50.000000,337.597037037037,291.3585925925926,17.534259259259258,sunrise4,229.5000001297429,0.0050915220913337,0.0006962808563879,-1.0,-1.0,-1.0,-1.0
761230-03-M4,761230-03-M4,2,1976-12-30 03:16:26.100000,1.0,0.0,3,35,B,CC,isolated,1,57.663607,1976-12-30 03:16:26.100000,362.4245244444445,320.75296000000003,18.644225694444444,sunrise5,345.4000001297617,0.0058210247311225,0.0007931143883875,-1.0,-1.0,-1.0,-1.0
761230-03-M4,761230-03-M4,4,1976-12-30 03:16:29.000000,1.0,0.0,3,35,B,CC,isolated,1,6.591837,1976-12-30 03:16:29.000000,362.425125925926,320.75373333333334,18.644259259259258,sunrise5,600.0,0.005091030738424,0.0007933843468702,-1.0,-1.0,-1.0,-1.0
761228-02-N1,761228-02-N1,1,1976-12-28 02:19:54.200000,1.0,0.0,3,35,D,CC,isolated,1,6.07211,1976-12-28 02:19:54.200000,308.88511407407407,264.14896296296297,16.60496759259259,sunrise5,52.10000012975208,0.0032856234702813,0.0007122277851007,-1.0,-1.0,-1.0,-1.0
761228-02-N1,761228-02-N1,2,1976-12-28 02:19:52.300000,1.0,0.0,3,35,D,CC,isolated,1,3.82245,1976-12-28 02:19:52.300000,308.88424148148147,264.1482592592593,16.604945601851853,sunrise5,116.40000012974927,0.0038041281990652,0.0008266023911063,-1.0,-1.0,-1.0,-1.0
761129-06-N2,761129-06-N2,1,1976-11-29 06:25:44.500000,1.0,0.0,3,35,D,CC,isolated,1,40.464287,1976-11-29 06:25:44.500000,333.3233925925926,286.8162740740741,17.377251157407407,sunrise4,14.100000129751576,0.0034583146351235,0.0006782411072669,-1.0,-1.0,-1.0,-1.0
761129-06-N2,761129-06-N2,4,1976-11-29 06:25:38.700000,1.0,0.0,3,35,D,CC,isolated,1,7.862926,1976-11-29 06:25:38.700000,333.3215022222222,286.81429777777777,17.377184027777776,sunrise4,124.5000001297488,0.0050957538676953,0.0007578780716412,-1.0,-1.0,-1.0,-1.0
761228-12-N1,761228-12-N1,1,1976-12-28 12:36:20.800000,1.0,0.0,3,35,D,CC,isolated,1,55.626872,1976-12-28 12:36:20.800000,323.94770370370367,277.55539555555555,17.033053240740742,sunrise5,160.70000012974677,0.0030041384782595,0.0005848344004263,-1.0,-1.0,-1.0,-1.0
761228-12-N1,761228-12-N1,2,1976-12-28 12:36:22.600000,1.0,0.0,3,35,D,CC,isolated,1,35.306463,1976-12-28 12:36:22.600000,323.9483703703704,277.5560355555556,17.033074074074076,sunrise5,173.50000012974604,0.0037561992215927,0.0006717770855454,-1.0,-1.0,-1.0,-1.0
761228-13-M3,761228-13-M3,2,1976-12-28 13:12:44.300000,1.0,0.0,3,35,C,CC,isolated,1,23.342858,1976-12-28 13:12:44.300000,324.7564074074074,278.3317511111111,17.058325231481483,sunrise5,308.2000001297532,0.0039541515098991,0.0006484823431642,-1.0,-1.0,-1.0,-1.0
761228-13-M3,761228-13-M3,4,1976-12-28 13:12:43.200000,1.0,0.0,3,35,C,CC,isolated,1,64.451362,1976-12-28 13:12:43.200000,324.756,278.33136,17.0583125,sunrise5,315.30000012975484,0.0063008787986653,0.0009849966089732,-1.0,-1.0,-1.0,-1.0
761228-09-N2,761228-09-N2,3,1976-12-28 09:07:35.300000,1.0,0.0,3,35,D,CC,isolated,1,11.478912,1976-12-28 09:07:35.300000,319.16212,273.07188444444444,16.888082175925927,sunrise5,127.70000012974864,0.0046240481307979,0.0007063231673622,-1.0,-1.0,-1.0,-1.0
761228-09-N2,761228-09-N2,4,1976-12-28 09:07:35.500000,1.0,0.0,3,35,D,CC,isolated,1,7.2483,1976-12-28 09:07:35.500000,319.1622,273.0719555555556,16.88808449074074,sunrise5,50.800000129752064,0.0036308726097187,0.0006027329569486,-1.0,-1.0,-1.0,-1.0
761228-01-N3,761228-01-N3,1,1976-12-28 01:57:16.800000,1.0,0.0,3,35,D,CC,isolated,1,30.262926,1976-12-28 01:57:16.800000,308.27746666666667,263.64622222222226,16.589256944444443,sunrise5,150.60000012974734,0.0029596185322677,0.0005627897150246,-1.0,-1.0,-1.0,-1.0
761228-01-N3,761228-01-N3,3,1976-12-28 01:57:19.300000,1.0,0.0,3,35,D,CC,isolated,1,28.638777,1976-12-28 01:57:19.300000,308.27857777777774,263.6471481481482,16.58928587962963,sunrise5,173.80000012974602,0.0028887847667908,0.0005759553064679,-1.0,-1.0,-1.0,-1.0
761227-18-N1,761227-18-N1,1,1976-12-27 18:02:22.500000,1.0,0.0,3,35,D,CC,isolated,1,3.023811,1976-12-27 18:02:22.500000,294.326,253.11066666666667,16.259461805555556,sunrise5,65.0000001297522,0.007398077403736,0.0016875592996429,-1.0,-1.0,-1.0,-1.0
