,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new
20981,761021-12-M1,761226-15-M9,4,1976-10-21 12:55:20.509910,0.7716737009868085,-4.056122448979592,3,35,A,AA
20982,761021-12-M2,761226-15-M9,4,1976-10-21 12:04:11.700000,0.7201129789594929,-5.000000000000001,3,35,C,AA
20983,761021-13-M1,761226-15-M9,4,1976-10-21 13:26:55.487443,0.8025752474180277,-1.0799319727891157,3,35,A,AA
20984,761021-21-M1,761226-15-M9,4,1976-10-21 21:39:46.583905,0.7074026370948185,-14.57482993197279,3,35,A,AA
20985,761022-08-M1,761226-15-M9,4,1976-10-22 08:16:43.836164,0.6863643673005199,-14.57482993197279,3,35,A,AA
20986,761022-08-M2,761226-15-M9,4,1976-10-22 08:34:26.056328,0.8641089521943215,0.2380952380952381,3,35,A,AA
20987,761022-19-M1,761226-15-M9,4,1976-10-22 19:16:22.545883,0.8037608811370762,0.1870748299319728,3,35,A,AA
20988,761022-21-M1,761226-15-M9,4,1976-10-22 21:39:29.654895,0.7440567455230694,2.006802721088436,3,35,A,AA
20989,761023-17-M1,761226-15-M9,4,1976-10-23 17:54:43.533236,0.7164853318559173,-4.591836734693878,3,35,A,AA
20990,761023-17-M2,761226-15-M9,4,1976-10-23 17:08:20.231293,0.6661001690644727,-5.731292517006803,3,35,C,AA
20991,761023-23-M1,761226-15-M9,4,1976-10-23 23:17:43.876052,0.6878126751079298,-6.1564625850340144,3,35,A,AA
20992,761023-23-M2,761226-15-M9,4,1976-10-23 23:38:02.610032,0.8720510121936521,0.3996598639455783,3,35,A,AA
20993,761024-00-M1,761226-15-M9,4,1976-10-24 00:25:03.776081,0.7869368968094127,0.8163265306122449,3,35,A,AA
20994,761024-14-M1,761226-15-M9,4,1976-10-24 14:29:03.474664,0.6969304241474674,-4.107142857142858,3,35,A,AA
20995,761024-17-M1,761226-15-M9,4,1976-10-24 17:18:14.135774,0.805273286326982,-1.0799319727891157,3,35,A,AA
20996,761024-19-M1,761226-15-M9,4,1976-10-24 19:15:04.660133,0.6570588647925076,-8.894557823129253,3,35,A,AA
20997,761025-02-M1,761226-15-M9,4,1976-10-25 02:17:02.541356,0.8684868750264674,0.2636054421768707,3,35,A,AA
20998,761025-07-M1,761226-15-M9,4,1976-10-25 07:22:25.593263,0.7631901601078975,0.8758503401360545,3,35,A,AA
20999,761025-23-M1,761226-15-M9,4,1976-10-25 23:08:33.317999,0.800972578191278,0.1105442176870748,3,35,A,AA
21000,761026-04-M1,761226-15-M9,4,1976-10-26 04:52:52.146365,0.7623394763671552,1.0034013605442178,3,35,A,AA
