,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source,source_distance_m
43,761031-06-M2,761031-06-M2,3,1976-10-31 06:41:45.000000,1.0,0.0,3,35,C,DD,isolated,1,0.387756,1976-10-31 06:41:45.000000,346.378,301.2922222222222,17.966493055555556,sunrise3,19.900000129751625,0.0106339026321345,-1.0,-1.0,-1.0,-1.0,geophone_rock,13.614793424800833
44,760902-07-M2,760902-07-M2,3,1976-09-02 07:27:18.775012,1.0,0.0,3,35,A,BB,isolated,1,0.32211,1976-09-02 07:27:18.775012,344.1793951882074,297.7422296331852,18.029383970046297,sunrise1,17.900000129751596,0.0106599482488753,226.8892394880573,0.2925045962704755,211.3187717485824,58.45487125099582,geophone_rock,13.614793424800833
45,760902-07-M2,760902-07-M2,4,1976-09-02 07:27:18.775012,1.0,0.0,3,35,A,BB,isolated,1,1.214967,1976-09-02 07:27:18.775012,344.1793951882074,297.7422296331852,18.029383970046297,sunrise1,15.400000129751572,0.0071378235499575,226.8892394880573,0.2925045962704755,211.3187717485824,58.45487125099582,geophone_rock,47.48226132989034
46,760902-07-M2,760902-07-M2,1,1976-09-02 07:27:19.675012,1.0,0.0,3,35,A,BB,isolated,1,3.57177,1976-09-02 07:27:19.675012,344.1796218548741,297.74249629985184,18.02939438671296,sunrise1,234.40000012974247,0.0036772014064713,226.8892394880573,0.2925045962704755,211.3187717485824,58.45487125099582,geophone_rock,70.08877337348686
47,770301-02-M1,770301-02-M1,4,1977-03-01 02:34:06.200000,1.0,0.0,3,35,C,AA,isolated,1,3.97347,1977-03-01 02:34:06.200000,382.5318844444445,349.8498074074074,20.403891203703704,sunrise7,73.40000012975172,0.0154634189940303,185.70149683286635,7.4286528263327325,170.55967914354832,2.817363889629077,geophone_rock,47.48226132989034
48,770301-02-M1,770301-02-M1,3,1977-03-01 02:34:06.700000,1.0,0.0,3,35,C,AA,isolated,1,2.869729,1977-03-01 02:34:06.700000,382.5319288888889,349.8498814814815,20.40389699074074,sunrise7,57.60000012975216,0.0338457399612316,185.70149683286635,7.4286528263327325,170.55967914354832,2.817363889629077,geophone_rock,13.614793424800833
49,770301-02-M1,770301-02-M1,2,1977-03-01 02:34:09.600000,1.0,0.0,3,35,C,AA,isolated,1,2.189117,1977-03-01 02:34:09.600000,382.5321866666667,349.8503111111111,20.40393055555556,sunrise7,42.400000129751945,0.010794791940111,185.70149683286635,7.4286528263327325,170.55967914354832,2.817363889629077,geophone_rock,55.99699389252963
50,770301-02-M1,770301-02-M1,1,1977-03-01 02:34:09.800000,1.0,0.0,3,35,C,AA,isolated,1,1.648981,1977-03-01 02:34:09.800000,382.53220444444446,349.8503407407407,20.40393287037037,sunrise7,48.20000012975203,0.0094521475030558,185.70149683286635,7.4286528263327325,170.55967914354832,2.817363889629077,geophone_rock,70.08877337348686
51,760909-03-N1,760909-03-N1,3,1976-09-09 03:44:22.100000,1.0,0.0,3,35,D,AA,isolated,1,0.651701,1976-09-09 03:44:22.100000,366.72617629629633,353.8133688888889,24.874561342592592,sunset1,30.40000012975177,0.0206551025703483,194.1636018168684,6.981951652176307,222.89613795572933,0.5110295648600922,geophone_rock,13.614793424800833
52,760909-03-N1,760909-03-N1,4,1976-09-09 03:44:23.000000,1.0,0.0,3,35,D,AA,isolated,1,2.421769,1976-09-09 03:44:23.000000,366.7260296296296,353.8132888888889,24.874571759259258,sunset1,29.900000129751767,0.008178314417708,194.1636018168684,6.981951652176307,222.89613795572933,0.5110295648600922,geophone_rock,47.48226132989034
53,760909-03-N1,760909-03-N1,2,1976-09-09 03:44:23.100000,1.0,0.0,3,35,D,AA,isolated,1,2.440817,1976-09-09 03:44:23.100000,366.72601333333336,353.81328,24.87457291666667,sunset1,23.90000012975168,0.0059104912443633,194.1636018168684,6.981951652176307,222.89613795572933,0.5110295648600922,geophone_rock,55.99699389252963
54,760909-03-N1,760909-03-N1,1,1976-09-09 03:44:23.800000,1.0,0.0,3,35,D,AA,isolated,1,0.465307,1976-09-09 03:44:23.800000,366.7258992592593,353.81321777777777,24.87458101851852,sunset1,43.800000129751965,0.0051618279538285,194.1636018168684,6.981951652176307,222.89613795572933,0.5110295648600922,geophone_rock,70.08877337348686
55,761010-12-N2,761010-12-N2,3,1976-10-10 12:45:55.400000,1.0,0.0,3,35,D,CC,isolated,1,0.895919,1976-10-10 12:45:55.400000,333.05276444444445,334.97015111111114,26.7584537037037,sunset2,66.40000012975212,0.0118867186960082,-1.0,-1.0,-1.0,-1.0,geophone_rock,13.614793424800833
56,761010-12-N2,761010-12-N2,4,1976-10-10 12:45:56.400000,1.0,0.0,3,35,D,CC,isolated,1,2.54898,1976-10-10 12:45:56.400000,333.05245333333335,334.96997333333337,26.758465277777777,sunset2,22.40000012975166,0.0039999351713014,-1.0,-1.0,-1.0,-1.0,geophone_rock,47.48226132989034
57,761011-12-M1,761011-12-M1,3,1976-10-11 12:33:36.000000,1.0,0.0,3,35,B,BB,isolated,1,2.517008,1976-10-11 12:33:36.000000,300.59426666666667,317.08213333333333,27.749895833333333,sunset2,29.10000012975176,0.0124408168039182,252.5576654732833,1.166572316182907,127.56123338638906,31.87089683521509,geophone_rock,13.614793424800833
58,761011-12-M1,761011-12-M1,4,1976-10-11 12:33:37.700000,1.0,0.0,3,35,B,BB,isolated,1,1.429253,1976-10-11 12:33:37.700000,300.59346074074074,317.08173037037034,27.74991550925926,sunset2,23.400000129751675,0.0081265543988819,252.5576654732833,1.166572316182907,127.56123338638906,31.87089683521509,geophone_rock,47.48226132989034
59,761011-12-M1,761011-12-M1,1,1976-10-11 12:33:38.800000,1.0,0.0,3,35,B,BB,isolated,1,4.878572,1976-10-11 12:33:38.800000,300.59293925925925,317.0814696296296,27.74992824074074,sunset2,42.30000012975194,0.0044050955361855,252.5576654732833,1.166572316182907,127.56123338638906,31.87089683521509,geophone_rock,70.08877337348686
