,evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
4073,770108-04-M6,770108-04-M6,1977-01-08 04:45:13.466667,DD,isolated,308.57401481466667,322.9434745678222,27.705885030868057,0.004585809861494,322.9434745678222,4.011225,-1.0,-1.0,-1.0,-1.0
4074,770108-04-M7,770108-04-M7,1977-01-08 04:21:11.000000,CC,isolated,309.20727407407406,323.2775555555555,27.689189814814814,0.0048183733285367,323.2775555555555,37.5824845,-1.0,-1.0,-1.0,-1.0
4075,770108-04-M8,770108-04-M8,1977-01-08 04:57:18.600000,AA,isolated,308.2517333333333,322.7715911111111,27.714277777777777,0.0045277967912102,322.7715911111111,33.801786750000005,328.1502872641239,58.99305275296624,206.99117288917788,0.1990049266798894
4076,770108-04-N1,770108-04-N1,1977-01-08 04:04:35.700000,DD,isolated,309.6448844444444,323.5113155555556,27.67767013888889,0.0036208244373852,323.5113155555556,17.191157,-1.0,-1.0,-1.0,-1.0
4077,770108-04-N4,770108-04-N4,1977-01-08 04:29:06.600000,CC,isolated,309.00294222222226,323.1718666666667,27.694694444444444,0.004571608597255,323.1718666666667,22.8710895,-1.0,-1.0,-1.0,-1.0
4078,770108-05-M1,770108-05-M1,1977-01-08 05:24:54.883333,AA,isolated,307.5156074075556,322.378990617363,27.73344772376157,0.0048758544727682,322.378990617363,15.5214295,272.948302944477,101.2366041153471,147.86671628227222,0.1390993762516917
4079,770108-05-M2,770108-05-M2,1977-01-08 05:28:38.300020,AA,isolated,307.41631110222227,322.32603258785184,27.73603356504629,0.007720814484018,322.32603258785184,32.67049425,237.7512493727928,73.42582879954782,266.44684048513875,0.1781916858077831
4080,770108-05-M3,770108-05-M3,1977-01-08 05:40:37.100000,DD,isolated,307.09684444444446,322.1556503703704,27.74435300925926,0.0026829100137875,322.1556503703704,29.536055,-1.0,-1.0,-1.0,-1.0
4081,770108-05-N1,770108-05-N1,1977-01-08 05:53:34.400000,DD,isolated,306.7470903703704,321.9714014814815,27.753349537037035,0.0045968518965067,321.9714014814815,7.055784,-1.0,-1.0,-1.0,-1.0
4082,770108-05-N2,770108-05-N2,1977-01-08 05:03:46.900000,DD,isolated,308.0791555555556,322.67954962962966,27.71877199074074,0.004562219716642,322.67954962962966,34.695239,-1.0,-1.0,-1.0,-1.0
4083,770108-06-M1,770108-06-M1,1977-01-08 06:16:54.295564,CC,isolated,306.1141753706074,321.63957438482964,27.76955203199074,0.0049105935694364,321.63957438482964,49.586566000000005,-1.0,-1.0,-1.0,-1.0
4084,770108-06-M2,770108-06-M2,1977-01-08 06:37:58.150000,CC,isolated,305.5337385185185,321.33999407407407,27.784179976851853,0.0029523825904617,321.33999407407407,24.280273,-1.0,-1.0,-1.0,-1.0
4085,770108-06-M3,770108-06-M3,1977-01-08 06:46:37.110360,AA,isolated,305.295401168,321.216981248,27.790186462500003,0.0054968320254975,321.216981248,22.92500125,105.62062357999216,0.5242733697347738,268.856616654402,0.4471466136297715
