,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,Regolith_Temp_K,Regolith_Temp_K_per_sec,Rock_Temp_K,Rock_Temp_K_per_sec,deltat_AU,deldot_kms,mean_abs_amp_nms
5615,770125-06-M10,761226-16-M2,geo1,1977-01-25T06:45:54.200494,0.938538857625509,-0.1016094192626464,5,35,A,219.0022673253333,0.0013333333333333,221.7552564353481,0.0002814814814814,0.0026560217611016,0.0396255360835283,65.94436273018606
5616,770423-23-M4,761226-16-M2,geo1,1977-04-23T23:19:02.719674,0.8491593749463214,-0.1097937906529963,5,35,A,211.55879716115555,0.001437037037037,220.0047252464,0.0002666666666666,0.0026849650994181,-0.0200392689171825,55.61471570087475
5617,760928-23-M6,761226-16-M2,geo2,1976-09-28T23:25:41.670629,0.9188056621706968,-0.539286967384446,5,35,A,212.2216106909926,0.0014518518518518,218.6916059361926,0.0002518518518518,0.0024657734133455,0.0170796254200999,33.73908859812169
5618,761127-01-M12,761226-16-M2,geo2,1976-11-27T01:53:57.975567,0.9575158841793036,-0.6389915901363342,5,35,A,217.67990743946663,0.0013629629629629,220.8534601512,0.0002666666666666,0.0025568074796536,0.0301998462661115,34.6597897365926
5619,761226-16-M2,761226-16-M2,geo2,1976-12-26T16:05:27.933707,0.9999999999999996,-0.0,5,35,A,218.5136281636148,0.0013629629629629,221.3974489885333,0.0002666666666666,0.0026099935254241,0.0399479601185279,34.371786138302255
5620,770125-06-M10,761226-16-M2,geo2,1977-01-25T06:45:56.152924,0.9364025498825266,-0.6390943237449068,5,35,A,219.0048705653333,0.0013333333333333,221.75580600823704,0.0002814814814814,0.0026560223083361,0.0395401967974614,36.8540442414247
5621,770423-23-M4,761226-16-M2,geo2,1977-04-23T23:19:04.670373,0.8587656252564757,-0.3515100317970636,5,35,A,211.56160038786663,0.001437037037037,220.0052454328,0.0002666666666666,0.0026849647278679,-0.0199718275309036,33.325839588701314
5622,760928-23-M6,761226-16-M2,geo3,1976-09-28T23:25:40.540129,0.8760911561129023,0.1660494906581008,5,35,A,212.21996937247408,0.0014518518518518,218.69132121767407,0.0002518518518518,0.0024657730097825,0.0171435780994932,50.10886814239292
5623,761127-01-M12,761226-16-M2,geo3,1976-11-27T01:53:56.853813,0.9612933903858684,0.1345901290385187,5,35,A,217.6783785303111,0.0013629629629629,220.8531610168,0.0002666666666666,0.0025568069453993,0.0302854993135061,51.58518014388208
5624,761226-16-M2,761226-16-M2,geo3,1976-12-26T16:05:26.811872,1.0,-0.0,5,35,A,218.51209914405925,0.0013629629629629,221.39714983253333,0.0002666666666666,0.0026099930657283,0.0400211802597756,50.01018319478965
5625,770125-06-M10,761226-16-M2,geo3,1977-01-25T06:45:55.032363,0.9451678838135849,0.0761805225996213,5,35,A,219.003376484,0.0013333333333333,221.7554905910667,0.0002814814814814,0.002656021994261,0.0395891756984896,55.95331995140337
5626,770423-23-M4,761226-16-M2,geo3,1977-04-23T23:19:03.550104,0.8554987395663056,0.126056562145728,5,35,A,211.55999051982224,0.001437037037037,220.0049466944,0.0002666666666666,0.0026849649412459,-0.0200105585162403,47.56111277300901
5627,760928-23-M6,761226-16-M2,geo4,1976-09-28T23:25:40.302129,0.8827211505538279,-0.3105830378638097,5,35,A,212.2196238317333,0.0014518518518518,218.6912612769333,0.0002518518518518,0.0024657729248219,0.0171570418214708,47.12782835801351
5628,761127-01-M12,761226-16-M2,geo4,1976-11-27T01:53:56.615843,0.8124979690963926,-0.2230123213845263,5,35,A,217.6780541860148,0.0013629629629629,220.85309755813336,0.0002666666666666,0.0025568068320621,0.0303036698354642,48.57116930323152
